,data,user_id
444,"public class Solution {

    public static void main(String[] args) {
        Scanner sc = new Scanner(System.in);
        Random random=new Random();
        var numberOfTestCases = sc.nextInt();
        for (int i = 0; i < numberOfTestCases; i++) {
            var N = sc.nextInt();
            int[] array = new int[N];
            for(int j=0;j<N;j++){
                array[j]=sc.nextInt();
            }
            int left=0, right=N-1;
            var served=0;
            int maxSoFar=Integer.MIN_VALUE,choose=0;
            while(left<=right){
                if(array[left]<array[right]){
                    choose=left;
                    left++;
                }else{
                    choose=right;
                    right--;
                }
//                System.out.println(""Choosing ""+ array[choose]);
                if(array[choose]>=maxSoFar) served++;
                maxSoFar=",DEB
724,"class Solution {
    public static void main(String[] args) {
//        provideInput(""2
"" +
//                ""3 3
"" +
//                ""0 10 20
"" +
//                ""0 10 20
"" +
//                ""20 30 30
"" +
//                ""4 3
"" +
//                ""0 10 20
"" +
//                ""0 10 20
"" +
//                ""0 10 20
"" +
//                ""20 30 30
"");

//        provideInput(""2
"" +
//                ""3 3
"" +
//                ""30 10 40
"" +
//                ""20 50 60
"" +
//                ""60 60 50
"" +
//                ""5 2
"" +
//                ""1 1000000000
"" +
//                ""500000000 1000000000
"" +
//                ""1 1000000000
"" +
//                ""500000000 1
"" +
//                ""1 1000000000
"");

        try (Scanner reader = new Scanner(System.in)) {
            if (reader.hasNextLine() && reader.hasNextInt()) {
                int T = Integer.parseInt(reader.nextLine());

                for (int i = 0; i < T; i++) {
                    int N = reader.nextInt();
                    int P = reader.nextInt();

                    if (reader.hasNextLine()) {
                        reader.nextLine();
                    }

                    List<Customer> queue = new ArrayList<>();

                    long count = 0;

                    int currentPressure = 0;

                    for (int j = 0; j < N; j++) {
                        int min = Integer.MAX_VALUE;
                        int max = 0;
                        for (int k = 0; k < P; k++) {
                            int value = reader.nextInt();
                            if (value < min) {
                                min = value;
                            }
                            if (value > max) {
                                max = value;
                            }
                        }

                        queue.add(new Customer(min, max));

                        if (reader.hasNextLine()) {
                            reader.nextLine();
                        }
                    }

                    for (int j = 0; j < N; j++) {
                        Customer c = queue.get(j);
                        int min = c.min;
                        int max = c.max;

                        int deltaMin = Math.abs(currentPressure - min);
                        int deltaMax = Math.abs(currentPressure - max);

                        int delta = max - min;
                        if (deltaMin < deltaMax) {
                            count += deltaMin;
                            count += delta;
                            currentPressure = max;
                        } else if (deltaMin > deltaMax) {
                            count += deltaMax;
                            count += delta;
                            currentPressure = min;
                        } else { // when equal search for next customer that is different if any
                            boolean found = false;
                            int sameCustomerCounter = 0;
                            for (int k = j+1; k < N; k++) {
                                sameCustomerCounter++;
                                Customer c2 = queue.get(k);
                                int min2 = c2.min;
                                int max2 = c2.max;
                                int deltaMin2 = Math.abs(currentPressure - min2);
                                int deltaMax2 = Math.abs(currentPressure - max2);

                                if (deltaMin2 < deltaMax2) {
                                    if (sameCustomerCounter % 2 != 0) {
                                        count += deltaMin;
                                        count += delta;
                                        currentPressure = max;
                                    } else {
                                        count += deltaMax;
                                        count += delta;
                                        currentPressure = min;
                                    }
                                    found = true;
                                } else if (deltaMin2 > deltaMax2) {
                                    if (sameCustomerCounter % 2 == 0) {
                                        count += deltaMin;
                                        count += delta;
                                        currentPressure = max;
                                    } else {
                                        count += deltaMax;
                                        count += delta;
                                        currentPressure = min;
                                    }
                                }

                                if (found) {
                                    break;
                                }
                            }
                            if (!found) { // it is the last one or the rest are all the same, does not matter
                                count += deltaMin;
                                count += delta;
                                currentPressure = max;
                            }
                        }

                    }
                    System.out.printf(""Case #%s: %s%n"", i + 1, count);
//                    System.out.println(""pressure "" + currentPressure);
                }
            }
        }
    }

    private static void provideInput(String data) {
        ByteArrayInputStream testIn;
        testIn = new ByteArrayInputStream(data.getBytes(StandardCharsets.UTF_8));
        System.setIn(testIn);
    }

    static class Customer {

        int min, max;

        public Customer(int min, int max) {
            this.min = min;
            this.max = max;
        }
    }
}
",JanDL
725,"class Solution {
    public static void main(String[] args) {
//        provideInput(""2
"" +
//                ""3 3
"" +
//                ""30 10 40
"" +
//                ""20 50 60
"" +
//                ""60 60 50
"" +
//                ""5 2
"" +
//                ""1 1000000000
"" +
//                ""500000000 1000000000
"" +
//                ""1 1000000000
"" +
//                ""500000000 1
"" +
//                ""1 1000000000
"");

        try (Scanner reader = new Scanner(System.in)) {
            if (reader.hasNextLine() && reader.hasNextInt()) {
                int T = Integer.parseInt(reader.nextLine());

                for (int i = 0; i < T; i++) {
                    int N = reader.nextInt();
                    int P = reader.nextInt();

                    if (reader.hasNextLine()) {
                        reader.nextLine();
                    }

                    List<Customer> queue = new ArrayList<>();

                    long count = 0;

                    int currentPressure = 0;

                    for (int j = 0; j < N; j++) {
                        int min = Integer.MAX_VALUE;
                        int max = 0;
                        for (int k = 0; k < P; k++) {
                            int value = reader.nextInt();
                            if (value < min) {
                                min = value;
                            }
                            if (value > max) {
                                max = value;
                            }
                        }

                        queue.add(new Customer(min, max));

                        if (reader.hasNextLine()) {
                            reader.nextLine();
                        }
                    }

                    for (int j = 0; j < N; j++) {
                        Customer c = queue.get(j);
                        int min = c.min;
                        int max = c.max;

                        int deltaMin = Math.abs(currentPressure - min);
                        int deltaMax = Math.abs(currentPressure - max);

                        int delta = max - min;
                        if (deltaMin < deltaMax) {
                            count += deltaMin;
                            count += delta;
                            currentPressure = max;
                        } else if (deltaMin > deltaMax) {
                            count += deltaMax;
                            count += delta;
                            currentPressure = min;
                        } else { // when equal search for next customer that is different if any
                            boolean found = false;
                            for (int k = j+1; k < N; k++) {
                                Customer c2 = queue.get(k);
                                int min2 = c2.min;
                                int max2 = c2.max;
                                int deltaMin2 = Math.abs(currentPressure - min2);
                                int deltaMax2 = Math.abs(currentPressure - max2);

                                if (deltaMin2 < deltaMax2) {
                                    count += deltaMin;
                                    count += delta;
                                    currentPressure = max;
                                    found = true;
                                } else if (deltaMin2 > deltaMax2) {
                                    count += deltaMax;
                                    count += delta;
                                    currentPressure = min;
                                    found = true;
                                }

                                if (found) {
                                    break;
                                }
                            }
                            if (!found) { // it is the last one or the rest are all the same, does not matter
                                count += deltaMin;
                                count += delta;
                                currentPressure = max;
                            }
                        }

                    }
                    System.out.printf(""Case #%s: %s%n"", i + 1, count);
                }
            }
        }
    }

    private static void provideInput(String data) {
        ByteArrayInputStream testIn;
        testIn = new ByteArrayInputStream(data.getBytes(StandardCharsets.UTF_8));
        System.setIn(testIn);
    }

    static class Customer {

        int min, max;

        public Customer(int min, int max) {
            this.min = min;
            this.max = max;
        }
    }
}
",JanDL
726,"class Solution {
    public static void main(String[] args) {
//        provideInput(""4
"" +
//                ""2
"" +
//                ""1 5
"" +
//                ""4
"" +
//                ""1 4 2 3
"" +
//                ""5
"" +
//                ""10 10 10 10 10
"" +
//                ""4
"" +
//                ""7 1 3 1000000
"");

        try (Scanner reader = new Scanner(System.in)) {
            if (reader.hasNextLine() && reader.hasNextInt()) {
                int T = Integer.parseInt(reader.nextLine());

                for (int i = 0; i < T; i++) {
                    int N = Integer.parseInt(reader.nextLine());

                    List<Integer> pancakes = new ArrayList<>();

                    for (int j = 0; j < N; j++) {
                        pancakes.add(reader.nextInt());
                    }

                    if (reader.hasNextLine()) {
                        reader.nextLine();
                    }

                    int first, last;
                    int count = 0;
                    int lastPaid = 0;
                    for (int j = 0; j < N; j++) {
                        int size = pancakes.size();
                        first = pancakes.get(0);
                        last = pancakes.get(size -1);

                        if (first < lastPaid) {
                            pancakes.remove(0);
                        } else if (last < lastPaid) {
                            pancakes.remove(size - 1);
                        } else if (first <= last) {
                            lastPaid = first;
                            count++;
                            pancakes.remove(0);
                        } else {
                            lastPaid = last;
                            count++;
                            pancakes.remove(size - 1);
                        }
                    }
                    System.out.printf(""Case #%s: %s%n"", i + 1, count);
                }
            }
        }
    }

    private static void provideInput(String data) {
        ByteArrayInputStream testIn;
        testIn = new ByteArrayInputStream(data.getBytes(StandardCharsets.UTF_8));
        System.setIn(testIn);
    }
}
",JanDL
727,"class Solution {
    public static void main(String[] args) {
//        provideInput(""4
"" +
//                ""2
"" +
//                ""1 5
"" +
//                ""4
"" +
//                ""1 4 2 3
"" +
//                ""5
"" +
//                ""10 10 10 10 10
"" +
//                ""4
"" +
//                ""7 1 3 1000000
"");

        try (Scanner reader = new Scanner(System.in)) {
            if (reader.hasNextLine() && reader.hasNextInt()) {
                int T = Integer.parseInt(reader.nextLine());

                for (int i = 0; i < T; i++) {
                    int N = Integer.parseInt(reader.nextLine());

                    List<Integer> pancakes = new ArrayList<>();

                    for (int j = 0; j < N; j++) {
                        pancakes.add(reader.nextInt());
                    }

                    if (reader.hasNextLine()) {
                        reader.nextLine();
                    }

                    int first, last;
                    int count = 0;
                    int lastPaid = 0;
                    for (int j = 0; j < N; j++) {
                        int size = pancakes.size();
                        first = pancakes.get(0);
                        last = pancakes.get(size -1);

                        if ((first <= last || last < lastPaid) && first >= lastPaid) {
                            lastPaid = first;
                            count++;
                            pancakes.remove(0);
                        } else if (last >= lastPaid) {
                            lastPaid = last;
                            count++;
                            pancakes.remove(size - 1);
                        } else {
                            break;
                        }
                    }
                    System.out.printf(""Case #%s: %s%n"", i + 1, count);
                }
            }
        }
    }

    private static void provideInput(String data) {
        ByteArrayInputStream testIn;
        testIn = new ByteArrayInputStream(data.getBytes(StandardCharsets.UTF_8));
        System.setIn(testIn);
    }
}
",JanDL
870,"public class Solution {

    public static void main(String[] args) {
        final Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));

        final int testQuantity = in.nextInt();

        for (int i = 1; i <= testQuantity; ++i) {
            int pancakesQuantity = in.nextInt();
            LinkedList<Integer> pancakes = new LinkedList<>();
//            while (pancakesQuantity-- > 0) {
            for (int j = 0; j < pancakesQuantity; j++) {
                pancakes.add(in.nextInt());
            }

            int last = 0;
            int left = pancakes.removeFirst();
            int right = pancakes.removeLast();
            int clientsCounter = 0;

            while (true) {

                if (right <= left) {
                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }

                    // greater left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }
                } else {
                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }

                    // greater right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }
                }

                break;

            }

            System.out.printf(""Case #%s: %s%n"", i, clientsCounter);
            System.",MikBac
871,"public class Solution {

    public static void main(String[] args) {
        final Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));

        final int testQuantity = in.nextInt();

        for (int i = 1; i <= testQuantity; ++i) {
            int pancakesQuantity = in.nextInt();
            LinkedList<Integer> pancakes = new LinkedList<>();
            while (pancakesQuantity-- > 0) {
                pancakes.add(in.nextInt());
            }

            int last = 0;
            int left = pancakes.removeFirst();
            int right = pancakes.removeLast();
            int clientsCounter = 0;

            while (true) {

                if (right <= left) {
                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }

                    // greater left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }
                } else {
                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }

                    // greater right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }
                }
                
                break;

            }

            System.out.printf(""Case #%s: %s%n"", i, clientsCounter);
            System.",MikBac
872,"public class Solution {

    public static void main(String[] args) {
        final Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));

        final int testQuantity = in.nextInt();

        for (int i = 1; i <= testQuantity; ++i) {
            int pancakesQuantity = in.nextInt();
            LinkedList<Integer> pancakes = new LinkedList<>();
            while (pancakesQuantity-- > 0) {
                pancakes.add(in.nextInt());
            }

            int last = 0;
            int left = pancakes.removeFirst();
            int right = pancakes.removeLast();
            int clientsCounter = 0;

            while (true) {

                if (right <= left) {
                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }

                    // greater left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }
                } else {
                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }

                    // greater right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }
                }

                if (pancakes.isEmpty()) {
                    break;
                }

                if (right <= left) {
                    right = pancakes.removeLast();
                } else {
                    left = pancakes.removeFirst();
                }

            }

            System.out.printf(""Case #%s: %s%n"", i, clientsCounter);
            System.",MikBac
873,"public class Solution {

    public static void main(String[] args) {
        final Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));

        final int testQuantity = in.nextInt();

        for (int i = 1; i <= testQuantity; ++i) {
            int pancakesQuantity = in.nextInt();
            final LinkedList<Integer> pancakes = new LinkedList();
            while (pancakesQuantity-- > 0) {
                pancakes.add(in.nextInt());
            }

            int last = 0;
            int left = pancakes.removeFirst();
            int right = pancakes.removeLast();
            int clientsCounter = 0;

            while (true) {

                if (right <= left) {
                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }

                    // greater left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }
                } else {
                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }

                    // greater right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }
                }

                if (pancakes.isEmpty()) {
                    break;
                }

                if (right <= left) {
                    right = pancakes.removeLast();
                } else {
                    left = pancakes.removeFirst();
                }

            }

            System.",MikBac
874,"public class Solution {

    public static void main(String[] args) {
        final Scanner in = new Scanner(new BufferedReader(new InputStreamReader(System.in)));

        final int testQuantity = in.nextInt();

        for (int i = 1; i <= testQuantity; ++i) {
            int pancakesQuantity = in.nextInt();
            final LinkedList<Integer> pancakes = new LinkedList();
            while (pancakesQuantity-- > 0) {
                pancakes.add(in.nextInt());
            }

            int last = 0;
            int left = pancakes.removeFirst();
            int right = pancakes.removeLast();
            int clientsCounter = 0;

            while (true) {

                if (right <= left) {
                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }

                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }
                } else {
                    // smaller left
                    if (left >= last) {
                        last = left;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (right >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        left = pancakes.removeFirst();
                        continue;
                    }

                    // smaller right
                    if (right >= last) {
                        last = right;
                        clientsCounter++;
                        if (pancakes.isEmpty()) {
                            if (left >= last) {
                                clientsCounter++;
                            }
                            break;
                        }
                        right = pancakes.removeLast();
                        continue;
                    }
                }

                break;
            }

            System.",MikBac
